Isbn,Title,Year,Genre,Price,Version
62,The Leviathan's Quest,1851,Adventure,20,1
63,The Sorcerer's Legacy Unveiled,1997,Fantasy,60,1
64,The Lost Road Chronicles,2006,Post-apocalyptic Fiction,30,1
65,The Prophecies of Eldoria,1954,Fantasy,150,1
66,Blood of the Nightfall,1897,Gothic Fiction,190,1
67,The Enigmatic Portrait of Shadows,1890,Gothic Fiction,110,1
68,Whispers in the Shadowed Heights,1847,Gothic Fiction,170,1
69,The Great Expectations Quest Revealed,1861,Fiction,160,2
70,The Odyssey of the Lost Bard,1861,Epic Poetry,30,1
71,Romance in the Verona Nightfall,1597,Tragedy,40,2
72,The Chronicles of War and Peace,1869,Historical Novel,20,1
73,Chronicles of a Tormented Soul,1866,Psychological Fiction,10,1
74,A Century of Solitude Rediscovered,1967,Magic Realism,40,1
75,The Haunting of the Shining Overlook,1977,Horror,60,1
76,The Sunrise Rises Again,1926,Modernist Literature,10,1
77,The Darkness Within,1880,Novel,170,1
78,The Lost Odyssey,1922,Modernist Literature,20,1
79,The Quest for the Enchanted Dragon,1937,Fantasy,40,1
80,The Old Man and the Sea Revisited,1952,Novella,20,1
81,The Wrath of the Grapes Unveiled,1939,Fiction,170,1
82,Alice's Adventures Through the Celestial Mirror,1865,Fantasy,10,1
83,The Quest for the Alchemist's Gold,1988,Adventure,20,1
84,Slaughter of the Time Travelers Unveiled,1969,Science Fiction,20,1
85,The Chronicles of Valinor Unveiled,1977,Fantasy,30,1
86,The Martian Chronicles,2011,Science Fiction,150,1
87,The Tale of the Handmaid Revealed,1985,Dystopian Fiction,190,1
88,A Tale of Two Cities Unveiled,1859,Historical Novel,20,1
89,The Odyssey Beyond 2001 Revealed,1968,Science Fiction,10,1
90,Fahrenheit's Literary Odyssey Unveiled,1953,Dystopian Fiction,60,1
91,The Existential Voyage Revealed,1942,Existentialism,160,1
92,Whispers in the Woodlands Rediscovered,1908,Children's Literature,20,1
93,The Purple Epistles Rediscovered,1982,Epistolary Novel,50,1
94,The Abyss of the Heart Rediscovered,1899,Novella,160,1
95,The Lost in the Rye Rediscovered,1951,Fiction,40,1
96,The Road to Redemption Rediscovered,2006,Post-apocalyptic Fiction,160,1
97,The Rings of Eldoria Rediscovered,1954,Fantasy,170,1
98,The Quest for the Vinci Code Rediscovered,2003,Thriller,30,1
99,Hearts and Prejudices Rediscovered,1813,Romance,50,3
100,The Galaxy's Guide to Adventure Rediscovered,1979,Science Fiction,100,1
